cluster,timestamp,hour,trip_count,total_fare
0.0,2024-06-15 21:00:00,21,61,5737.229999999999
0.0,2024-06-15 22:00:00,22,49,5114.77
0.0,2024-06-15 23:00:00,23,91,10669.640000000005
0.0,2024-06-16 00:00:00,0,21,2045.8899999999999
0.0,2024-06-16 01:00:00,1,1,80.38
0.0,2024-06-16 02:00:00,2,3,254.78
0.0,2024-06-16 04:00:00,4,1,33.46
0.0,2024-06-16 05:00:00,5,2,281.51
0.0,2024-06-16 06:00:00,6,1,31.190000000000005
0.0,2024-06-16 07:00:00,7,13,909.21
0.0,2024-06-16 08:00:00,8,33,2484.4300000000007
0.0,2024-06-16 09:00:00,9,57,5262.440000000001
0.0,2024-06-16 10:00:00,10,110,10924.359999999999
0.0,2024-06-16 11:00:00,11,66,6084.770000000002
0.0,2024-06-16 12:00:00,12,118,12578.860000000004
0.0,2024-06-16 13:00:00,13,119,13552.15
0.0,2024-06-16 14:00:00,14,151,17548.700000000008
0.0,2024-06-16 15:00:00,15,136,15415.319999999998
0.0,2024-06-16 16:00:00,16,144,16375.170000000007
0.0,2024-06-16 17:00:00,17,153,19194.93
0.0,2024-06-16 18:00:00,18,172,18551.729999999996
0.0,2024-06-16 19:00:00,19,140,15871.210000000003
0.0,2024-06-16 20:00:00,20,136,16470.190000000006
0.0,2024-06-16 21:00:00,21,162,19955.119999999988
0.0,2024-06-16 22:00:00,22,147,19337.579999999994
0.0,2024-06-16 23:00:00,23,160,20724.26999999998
0.0,2024-06-17 00:00:00,0,133,14899.310000000003
0.0,2024-06-17 01:00:00,1,7,614.7900000000001
0.0,2024-06-17 02:00:00,2,7,632.93
0.0,2024-06-17 04:00:00,4,4,167.27
0.0,2024-06-17 05:00:00,5,2,108.04
0.0,2024-06-17 06:00:00,6,3,167.94
0.0,2024-06-17 07:00:00,7,50,5392.46
0.0,2024-06-17 08:00:00,8,105,12588.829999999994
0.0,2024-06-17 09:00:00,9,136,15955.929999999998
0.0,2024-06-17 10:00:00,10,155,19782.310000000005
0.0,2024-06-17 11:00:00,11,132,16005.369999999994
0.0,2024-06-17 12:00:00,12,112,13436.719999999996
0.0,2024-06-17 13:00:00,13,113,13299.78
0.0,2024-06-17 14:00:00,14,141,18157.26
0.0,2024-06-17 15:00:00,15,125,15460.570000000005
0.0,2024-06-17 16:00:00,16,131,15945.739999999993
0.0,2024-06-17 17:00:00,17,118,12924.39
0.0,2024-06-17 18:00:00,18,134,14007.759999999995
0.0,2024-06-17 19:00:00,19,143,13770.260000000006
0.0,2024-06-17 20:00:00,20,141,13755.230000000001
0.0,2024-06-17 21:00:00,21,170,16220.460000000003
0.0,2024-06-17 22:00:00,22,114,10762.439999999999
0.0,2024-06-17 23:00:00,23,146,14312.879999999988
0.0,2024-06-18 00:00:00,0,97,8147.98
0.0,2024-06-18 01:00:00,1,15,982.37
0.0,2024-06-18 03:00:00,3,1,133.35000000000002
0.0,2024-06-18 04:00:00,4,1,21.979999999999997
0.0,2024-06-18 05:00:00,5,2,168.17000000000002
0.0,2024-06-18 06:00:00,6,3,306.79
0.0,2024-06-18 07:00:00,7,38,4399.4800000000005
0.0,2024-06-18 08:00:00,8,53,6338.1900000000005
0.0,2024-06-18 09:00:00,9,101,12114.09
0.0,2024-06-18 10:00:00,10,114,14120.509999999997
0.0,2024-06-18 11:00:00,11,87,9486.929999999998
0.0,2024-06-18 12:00:00,12,91,10496.64
0.0,2024-06-18 13:00:00,13,113,14200.260000000004
0.0,2024-06-18 14:00:00,14,103,12752.619999999999
0.0,2024-06-18 15:00:00,15,106,14040.36
0.0,2024-06-18 16:00:00,16,94,11981.080000000002
0.0,2024-06-18 17:00:00,17,85,10836.980000000005
0.0,2024-06-18 18:00:00,18,128,14858.660000000003
0.0,2024-06-18 19:00:00,19,122,14580.279999999999
0.0,2024-06-18 20:00:00,20,159,17942.699999999997
0.0,2024-06-18 21:00:00,21,159,16617.4
0.0,2024-06-18 22:00:00,22,113,10267.490000000003
0.0,2024-06-18 23:00:00,23,147,13739.889999999998
0.0,2024-06-19 00:00:00,0,57,5676.93
0.0,2024-06-19 01:00:00,1,8,635.02
0.0,2024-06-19 03:00:00,3,3,204.24
0.0,2024-06-19 05:00:00,5,2,83.62
0.0,2024-06-19 06:00:00,6,2,139.83
0.0,2024-06-19 07:00:00,7,16,1357.29
0.0,2024-06-19 08:00:00,8,63,6452.659999999997
0.0,2024-06-19 09:00:00,9,83,8469.010000000002
0.0,2024-06-19 10:00:00,10,132,15247.029999999995
0.0,2024-06-19 11:00:00,11,84,10321.130000000001
0.0,2024-06-19 12:00:00,12,110,12473.500000000002
0.0,2024-06-19 13:00:00,13,98,12273.79
0.0,2024-06-19 14:00:00,14,165,22249.04
0.0,2024-06-19 15:00:00,15,113,14542.199999999999
0.0,2024-06-19 16:00:00,16,123,14285.000000000002
0.0,2024-06-19 17:00:00,17,136,16201.060000000009
0.0,2024-06-19 18:00:00,18,120,13054.400000000001
0.0,2024-06-19 19:00:00,19,148,15262.840000000007
0.0,2024-06-19 20:00:00,20,144,15261.490000000002
0.0,2024-06-19 21:00:00,21,139,14325.829999999998
0.0,2024-06-19 22:00:00,22,103,10474.880000000001
0.0,2024-06-19 23:00:00,23,155,14842.87
0.0,2024-06-20 00:00:00,0,68,6549.539999999999
0.0,2024-06-20 01:00:00,1,6,551.54
0.0,2024-06-20 03:00:00,3,2,104.36
0.0,2024-06-20 04:00:00,4,3,130.07
0.0,2024-06-20 05:00:00,5,1,106.88
0.0,2024-06-20 07:00:00,7,32,4039.73
0.0,2024-06-20 08:00:00,8,62,7999.17
0.0,2024-06-20 09:00:00,9,102,13418.14
0.0,2024-06-20 10:00:00,10,131,18014.95
0.0,2024-06-20 11:00:00,11,97,11142.090000000002
0.0,2024-06-20 12:00:00,12,92,10973.58
0.0,2024-06-20 13:00:00,13,93,11722.780000000004
0.0,2024-06-20 14:00:00,14,104,14544.380000000001
0.0,2024-06-20 15:00:00,15,119,17006.170000000002
0.0,2024-06-20 16:00:00,16,123,16846.580000000005
0.0,2024-06-20 17:00:00,17,125,17908.439999999995
0.0,2024-06-20 18:00:00,18,99,12713.050000000001
0.0,2024-06-20 19:00:00,19,111,13131.309999999994
0.0,2024-06-20 20:00:00,20,171,18898.589999999997
0.0,2024-06-20 21:00:00,21,166,18929.850000000006
0.0,2024-06-20 22:00:00,22,126,13680.389999999996
0.0,2024-06-20 23:00:00,23,164,17159.55000000001
0.0,2024-06-21 00:00:00,0,66,7098.019999999999
0.0,2024-06-21 01:00:00,1,3,238.93
0.0,2024-06-21 02:00:00,2,1,88.55000000000001
0.0,2024-06-21 04:00:00,4,1,59.120000000000005
0.0,2024-06-21 05:00:00,5,1,78.87
0.0,2024-06-21 06:00:00,6,3,169.95
0.0,2024-06-21 07:00:00,7,31,3168.05
0.0,2024-06-21 08:00:00,8,73,8541.920000000002
0.0,2024-06-21 09:00:00,9,93,9100.079999999998
0.0,2024-06-21 10:00:00,10,132,15330.610000000006
0.0,2024-06-21 11:00:00,11,101,11340.020000000006
0.0,2024-06-21 12:00:00,12,118,13175.009999999998
0.0,2024-06-21 13:00:00,13,103,14314.190000000002
0.0,2024-06-21 14:00:00,14,106,15485.359999999993
0.0,2024-06-21 15:00:00,15,117,16879.6
0.0,2024-06-21 16:00:00,16,99,15872.289999999997
0.0,2024-06-21 17:00:00,17,111,15048.649999999996
0.0,2024-06-21 18:00:00,18,112,14182.359999999997
0.0,2024-06-21 19:00:00,19,115,12728.250000000002
0.0,2024-06-21 20:00:00,20,134,14548.500000000002
