LocationID,hour,cx,cy,cluster_id,intensity_hour,avg_fare_hour,avg_duration_min_hour
130,4,-73.79397965822719,40.7043687774551,12,2577,27.78140350877193,15.90916179337232
90,5,-73.99697141558364,40.74227862901228,2,2577,54.1108173076923,21.799078525641026
77,21,-73.89536411750332,40.66655893903528,59,2576,20.7039512195122,16.672357723577235
82,3,-73.87711833280922,40.73949564677821,18,2574,22.658015075376884,13.816331658291457
248,9,-73.87228927297005,40.834165316827594,31,2574,21.917684478371502,16.29885496183206
219,8,-73.76450578558229,40.66218488071139,80,2573,24.84368700265252,17.415959328028293
136,7,-73.90591118270508,40.8652641915249,31,2573,22.78307291666667,17.05629340277778
191,19,-73.74153176997541,40.7154545153052,47,2572,24.052661870503595,16.78361310951239
77,13,-73.89536411750332,40.66655893903528,59,2571,23.194807197943447,19.713753213367607
45,16,-73.99815149899052,40.71245931177954,2,2570,39.881925,25.70491666666667
119,12,-73.92615723620786,40.83782699169886,16,2568,23.949061662198392,17.524441465594283
157,14,-73.90232968131362,40.7239950749335,60,2566,24.5801108033241,18.549630655586334
250,16,-73.84864070062378,40.832101659632144,40,2566,24.383548387096774,20.056406810035842
21,7,-73.98353709672224,40.601429439835144,65,2565,23.049896373056995,16.144127806563038
66,10,-73.98570161582282,40.70225893882249,3,2565,33.16515738498789,20.509200968523
174,0,-73.87902225226026,40.8771376028766,39,2562,18.588591160220993,12.020534069981585
81,23,-73.836643344083,40.8809354114894,38,2562,22.687985074626866,15.186069651741294
70,16,-73.8683955984202,40.76335220113318,66,2558,28.37666666666667,21.006785411365563
151,7,-73.96816833309238,40.79796199310003,2,2557,35.82285353535354,19.7516835016835
182,18,-73.85798694048574,40.83774866435355,40,2557,23.730249376558604,19.11496259351621
126,10,-73.88553752149437,40.812074458592114,58,2557,22.621303191489364,17.831205673758866
28,13,-73.80872901637515,40.7115963579451,62,2556,26.52686375321337,19.224678663239075
220,23,-73.91066467564433,40.88240311320923,46,2555,22.097174999999996,13.606833333333334
